wavelength / nm,fluorescence / counts
526.69000000000005,1660.0830000000001
526.82000000000005,1715.3330000000001
526.95000000000005,1786.0830000000001
527.07000000000005,1835.5830000000001
527.20000000000005,1873.0830000000001
527.33000000000004,1917.3330000000001
527.45000000000005,2012.5830000000001
527.58000000000004,2099.3330000000001
527.71000000000004,2123.8330000000001
527.83000000000004,2125.0830000000001
527.96000000000004,2147.3330000000001
528.09000000000003,2186.8330000000001
528.21000000000004,2243.0830000000001
528.34000000000003,2355.3330000000001
528.47000000000003,2444.0830000000001
528.59000000000003,2469.8330000000001
528.72000000000003,2530.0830000000001
528.85000000000002,2611.8330000000001
528.97000000000003,2659.0830000000001
529.10000000000002,2703.3330000000001
529.23000000000002,2805.0829999999996
529.35000000000002,2943.3329999999996
529.48000000000002,3049.3329999999996
529.61000000000001,3134.8329999999996
529.73000000000002,3272.3330000000005
529.86000000000001,3422.8330000000005
529.99000000000001,3540.0830000000005
530.11000000000001,3674.5830000000005
530.24000000000001,3815.8330000000005
530.37,3987.5830000000001
530.49000000000001,4238.3329999999996
530.62,4555.8329999999996
530.74000000000001,5149.8329999999996
530.87,7490.8329999999996
531.0,17578.832999999999
531.12,38800.582999999999
531.25,58335.332999999999
531.38,64815.832999999999
531.5,64815.832999999999
531.63,64815.832999999999
531.75999999999999,64815.832999999999
531.88,64815.832999999999
532.00999999999999,64815.832999999999
532.13,64815.832999999999
532.25999999999999,64815.832999999999
532.38999999999999,64815.832999999999
532.50999999999999,64815.832999999999
532.63999999999999,64815.832999999999
532.75999999999999,64815.832999999999
532.88999999999999,64815.832999999999
533.01999999999998,64815.832999999999
533.13999999999999,64815.832999999999
533.26999999999998,64815.832999999999
533.39999999999998,52416.582999999999
533.51999999999998,25793.083000000002
533.64999999999998,9576.3330000000005
533.76999999999998,7380.8329999999996
533.89999999999998,7178.8329999999996
534.01999999999998,7144.0829999999996
534.14999999999998,6967.5829999999996
534.27999999999997,6766.5829999999996
534.39999999999998,6705.8329999999996
534.52999999999997,6701.3329999999996
534.64999999999998,6715.8329999999996
534.77999999999997,6765.3329999999996
534.90999999999997,6803.3329999999996
535.02999999999997,6874.0829999999996
535.15999999999997,6999.8329999999996
535.27999999999997,7101.0829999999996
535.40999999999997,7235.3329999999996
535.53999999999996,7373.3329999999996
535.65999999999997,7448.5829999999996
535.78999999999996,7554.3329999999996
535.90999999999997,7700.0829999999996
536.03999999999996,7841.8329999999996
536.15999999999997,7997.8329999999996
536.28999999999996,8170.0829999999996
536.41999999999996,8315.0830000000005
536.53999999999996,8429.8330000000005
536.66999999999996,8552.0830000000005
536.78999999999996,8693.0830000000005
536.91999999999996,8851.0830000000005
537.03999999999996,9036.0830000000005
537.16999999999996,9234.0830000000005
537.28999999999996,9387.5830000000005
537.41999999999996,9530.5830000000005
537.54999999999995,9713.3330000000005
537.66999999999996,9883.8330000000005
537.79999999999995,10061.083000000001
537.91999999999996,10239.333000000001
538.04999999999995,10380.583000000001
538.16999999999996,10538.583000000001
538.29999999999995,10716.333000000001
538.41999999999996,10905.333000000001
538.54999999999995,11100.833000000001
538.66999999999996,11295.083000000001
538.79999999999995,11507.083000000001
538.91999999999996,11703.333000000001
539.04999999999995,11869.833000000001
539.17999999999995,12063.583000000001
539.29999999999995,12279.833000000001
539.42999999999995,12426.833000000001
539.54999999999995,12544.833000000001
539.67999999999995,12743.083000000001
539.79999999999995,13021.833000000001
539.92999999999995,13297.333000000001
540.04999999999995,13479.333000000001
540.17999999999995,13612.833000000001
540.29999999999995,13775.083000000001
540.42999999999995,13976.083000000001
540.54999999999995,14252.833000000001
540.67999999999995,14559.833000000001
540.79999999999995,14844.083000000001
540.92999999999995,15163.333000000001
541.04999999999995,15450.833000000001
541.17999999999995,15676.083000000001
541.29999999999995,15963.083000000001
541.42999999999995,16252.082999999999
541.54999999999995,16457.582999999999
541.67999999999995,16735.332999999999
541.79999999999995,17092.082999999999
541.92999999999995,17371.332999999999
542.04999999999995,17602.332999999999
542.17999999999995,17759.832999999999
542.29999999999995,17892.582999999999
542.42999999999995,18186.082999999999
542.54999999999995,18566.832999999999
542.67999999999995,18898.332999999999
542.79999999999995,19063.582999999999
542.92999999999995,19129.832999999999
543.04999999999995,19296.082999999999
543.17999999999995,19412.582999999999
543.29999999999995,19445.832999999999
543.42999999999995,19592.082999999999
543.54999999999995,19793.832999999999
543.67999999999995,20039.332999999999
543.79999999999995,20413.832999999999
543.91999999999996,20754.332999999999
544.04999999999995,20946.582999999999
544.16999999999996,21119.082999999999
544.29999999999995,21342.832999999999
544.41999999999996,21626.582999999999
544.54999999999995,21943.332999999999
544.66999999999996,22112.082999999999
544.79999999999995,22145.832999999999
544.91999999999996,22295.082999999999
545.04999999999995,22571.082999999999
545.16999999999996,22896.082999999999
545.28999999999996,23238.832999999999
545.41999999999996,23511.582999999999
545.53999999999996,23667.332999999999
545.66999999999996,23769.832999999999
545.78999999999996,23965.082999999999
545.91999999999996,24130.332999999999
546.03999999999996,24178.832999999999
546.16999999999996,24286.332999999999
546.28999999999996,24442.582999999999
546.40999999999997,24665.332999999999
546.53999999999996,24956.083000000002
546.65999999999997,25197.333000000002
546.78999999999996,25392.583000000002
546.90999999999997,25521.083000000002
547.03999999999996,25636.333000000002
547.15999999999997,25733.833000000002
547.27999999999997,25739.083000000002
547.40999999999997,25733.583000000002
547.52999999999997,25764.083000000002
547.65999999999997,25900.083000000002
547.77999999999997,26071.833000000002
547.90999999999997,26161.583000000002
548.02999999999997,26248.083000000002
548.14999999999998,26389.833000000002
548.27999999999997,26539.583000000002
